module
_abc
_asyncio
_bz2
_codecs_cn
_codecs_hk
_codecs_iso2022
_codecs_jp
_codecs_kr
_codecs_tw
_ctypes_test
_curses
_curses_panel
_datetime
_dbm
_decimal
_elementtree
_gdbm
_heapq
_interpchannels
_interpqueues
_interpreters
_lsprof
_lzma
_multibytecodec
_opcode
_opcode_metadata
_pickle
_posixshmem
_pyrepl
_queue
_sha2
_sqlite3
_stat
_suggestions
_symtable
_sysconfig
_sysconfigdata__linux_x86_64-linux-gnu
_testclinic
_testclinic_limited
_testexternalinspection
_testsinglephase
_tkinter
_tokenize
_tracemalloc
_zoneinfo
cProfile
curses
idlelib
imaplib
lzma
modulefinder
poplib
profile
pstats
pyclbr
readline
tkinter
tracemalloc
turtle
turtledemo
wave
xxlimited_35
